timePointYears,aquaSpecies,proportionOnFeed,feedConversionRate
1995,Marine Crustacean,0.75,2
1996,Marine Crustacean,0.75,2
1997,Marine Crustacean,0.76,2
1998,Marine Crustacean,0.78,2
1999,Marine Crustacean,0.8,2
2000,Marine Crustacean,0.82,2
2001,Marine Crustacean,0.83,2
2002,Marine Crustacean,0.85,1.9
2003,Marine Crustacean,0.85,1.9
2004,Marine Crustacean,0.86,1.8
2005,Marine Crustacean,0.89,1.8
2006,Marine Crustacean,0.92,1.7
2007,Marine Crustacean,0.93,1.7
2010,Marine Crustacean,0.95,1.6
2015,Marine Crustacean,0.95,1.5
2020,Marine Crustacean,0.95,1.4
1995,Miscellaneous Marine Fish,0.5,2
1996,Miscellaneous Marine Fish,0.5,2
1997,Miscellaneous Marine Fish,0.53,2
1998,Miscellaneous Marine Fish,0.56,2
1999,Miscellaneous Marine Fish,0.58,2
2000,Miscellaneous Marine Fish,0.6,2
2001,Miscellaneous Marine Fish,0.62,2
2002,Miscellaneous Marine Fish,0.65,2
2003,Miscellaneous Marine Fish,0.67,2
2004,Miscellaneous Marine Fish,0.7,1.9
2005,Miscellaneous Marine Fish,0.7,1.9
2006,Miscellaneous Marine Fish,0.71,1.9
2007,Miscellaneous Marine Fish,0.72,1.9
2010,Miscellaneous Marine Fish,0.73,1.8
2015,Miscellaneous Marine Fish,0.75,1.8
2020,Miscellaneous Marine Fish,0.8,1.7
1995,Salmon,1,1.5
1996,Salmon,1,1.5
1997,Salmon,1,1.4
1998,Salmon,1,1.4
1999,Salmon,1,1.3
2000,Salmon,1,1.3
2001,Salmon,1,1.3
2002,Salmon,1,1.3
2003,Salmon,1,1.3
2004,Salmon,1,1.3
2005,Salmon,1,1.3
2006,Salmon,1,1.3
2007,Salmon,1,1.3
2010,Salmon,1,1.3
2015,Salmon,1,1.3
2020,Salmon,1,1.3
1995,Trout,1,1.5
1996,Trout,1,1.5
1997,Trout,1,1.4
1998,Trout,1,1.4
1999,Trout,1,1.4
2000,Trout,1,1.3
2001,Trout,1,1.3
2002,Trout,1,1.3
2003,Trout,1,1.3
2004,Trout,1,1.3
2005,Trout,1,1.3
2006,Trout,1,1.3
2007,Trout,1,1.3
2010,Trout,1,1.3
2015,Trout,1,1.3
2020,Trout,1,1.3
1995,Carp,0.2,2
1996,Carp,0.25,2
1997,Carp,0.3,2
1998,Carp,0.35,2
1999,Carp,0.36,2
2000,Carp,0.37,2
2001,Carp,0.38,1.9
2002,Carp,0.42,1.9
2003,Carp,0.43,1.9
2004,Carp,0.44,1.9
2005,Carp,0.45,1.8
2006,Carp,0.46,1.8
2007,Carp,0.47,1.7
2010,Carp,0.5,1.7
2015,Carp,0.55,1.6
2020,Carp,0.6,1.5
1995,Catfish,0.85,2
1996,Catfish,0.85,2
1997,Catfish,0.83,2
1998,Catfish,0.83,1.9
1999,Catfish,0.81,1.9
2000,Catfish,0.81,1.8
2001,Catfish,0.79,1.8
2002,Catfish,0.77,1.7
2003,Catfish,0.75,1.7
2004,Catfish,0.75,1.6
2005,Catfish,0.73,1.6
2006,Catfish,0.71,1.5
2007,Catfish,0.72,1.5
2010,Catfish,0.73,1.5
2015,Catfish,0.75,1.4
2020,Catfish,0.8,1.3
1995,Miscellaneous Freshwater Fish,0.05,2
1996,Miscellaneous Freshwater Fish,0.06,2
1997,Miscellaneous Freshwater Fish,0.07,2
1998,Miscellaneous Freshwater Fish,0.08,2
1999,Miscellaneous Freshwater Fish,0.09,2
2000,Miscellaneous Freshwater Fish,0.1,2
2001,Miscellaneous Freshwater Fish,0.11,2
2002,Miscellaneous Freshwater Fish,0.12,2
2003,Miscellaneous Freshwater Fish,0.13,2
2004,Miscellaneous Freshwater Fish,0.14,2
2005,Miscellaneous Freshwater Fish,0.15,2
2006,Miscellaneous Freshwater Fish,0.16,2
2007,Miscellaneous Freshwater Fish,0.17,2
2010,Miscellaneous Freshwater Fish,0.2,2
2015,Miscellaneous Freshwater Fish,0.25,2
2020,Miscellaneous Freshwater Fish,0.3,2
1995,Freshwater Crustacean,0.35,2.5
1996,Freshwater Crustacean,0.36,2.5
1997,Freshwater Crustacean,0.37,2.5
1998,Freshwater Crustacean,0.38,2.5
1999,Freshwater Crustacean,0.39,2.4
2000,Freshwater Crustacean,0.4,2.4
2001,Freshwater Crustacean,0.41,2.4
2002,Freshwater Crustacean,0.42,2.3
2003,Freshwater Crustacean,0.43,2.3
2004,Freshwater Crustacean,0.44,2.2
2005,Freshwater Crustacean,0.45,2.2
2006,Freshwater Crustacean,0.46,2.1
2007,Freshwater Crustacean,0.47,2.1
2010,Freshwater Crustacean,0.5,2
2015,Freshwater Crustacean,0.55,1.9
2020,Freshwater Crustacean,0.6,1.8
1995,Tilapia,0.7,2
1996,Tilapia,0.71,2
1997,Tilapia,0.72,2
1998,Tilapia,0.73,1.9
1999,Tilapia,0.74,1.9
2000,Tilapia,0.75,1.9
2001,Tilapia,0.76,1.9
2002,Tilapia,0.77,1.8
2003,Tilapia,0.78,1.8
2004,Tilapia,0.79,1.8
2005,Tilapia,0.8,1.8
2006,Tilapia,0.81,1.7
2007,Tilapia,0.82,1.7
2010,Tilapia,0.85,1.7
2015,Tilapia,0.9,1.6
2020,Tilapia,0.95,1.5
1995,Milkfish,0.3,2
1996,Milkfish,0.3,2
1997,Milkfish,0.31,2
1998,Milkfish,0.32,2
1999,Milkfish,0.33,2
2000,Milkfish,0.34,2
2001,Milkfish,0.35,2
2002,Milkfish,0.36,2
2003,Milkfish,0.37,2
2004,Milkfish,0.38,2
2005,Milkfish,0.39,2
2006,Milkfish,0.4,2
2007,Milkfish,0.41,2
2010,Milkfish,0.44,1.9
2015,Milkfish,0.49,1.7
2020,Milkfish,0.49,1.7
1995,Catla,0.2,2
1996,Catla,0.25,2
1997,Catla,0.3,2
1998,Catla,0.35,2
1999,Catla,0.36,2
2000,Catla,0.37,2
2001,Catla,0.38,1.9
2002,Catla,0.42,1.9
2003,Catla,0.43,1.9
2004,Catla,0.44,1.9
2005,Catla,0.45,1.8
2006,Catla,0.46,1.8
2007,Catla,0.47,1.7
2010,Catla,0.5,1.7
2015,Catla,0.55,1.6
2020,Catla,0.6,1.5
1995,Rohu,0.2,2
1996,Rohu,0.25,2
1997,Rohu,0.3,2
1998,Rohu,0.35,2
1999,Rohu,0.36,2
2000,Rohu,0.37,2
2001,Rohu,0.38,1.9
2002,Rohu,0.42,1.9
2003,Rohu,0.43,1.9
2004,Rohu,0.44,1.9
2005,Rohu,0.45,1.8
2006,Rohu,0.46,1.8
2007,Rohu,0.47,1.7
2010,Rohu,0.5,1.7
2015,Rohu,0.55,1.6
2020,Rohu,0.6,1.5
